Year,Month,FFB_Yield,FFB_production,CPO_Yield
1987,1,1.09,1386360.0,0.21
1987,2,1.04,1360834.0,0.21
1987,3,1.08,1430449.0,0.22
1987,4,1.2,1574587.0,0.24
1987,5,1.2,1628407.0,0.23
1987,6,1.49,2000388.0,0.3
1987,7,1.64,2217885.0,0.32
1987,8,1.87,2512675.0,0.37
1987,9,2.05,2723505.0,0.41
1987,10,1.78,2378941.0,0.36
1987,11,1.47,1959922.0,0.3
1987,12,1.17,1584907.0,0.23
1988,1,0.95,1342798.0,0.19
1988,2,0.97,1408245.0,0.19
1988,3,1.19,1738793.0,0.23
1988,4,1.34,1910411.0,0.26
1988,5,1.38,2019159.0,0.27
1988,6,1.67,2428555.0,0.33
1988,7,1.69,2470693.0,0.33
1988,8,1.85,2694413.0,0.37
1988,9,1.78,2583268.0,0.36
1988,10,1.68,2452898.0,0.34
1988,11,1.57,2295593.0,0.31
1988,12,1.41,2089589.0,0.28
1989,1,1.19,1835319.0,0.24
1989,2,1.09,1674517.0,0.22
1989,3,1.2,1865926.0,0.24
1989,4,1.26,1998552.0,0.25
1989,5,1.43,2270826.0,0.28
1989,6,1.61,2549834.0,0.32
1989,7,1.81,2887380.0,0.35
1989,8,2.05,3219751.0,0.4
1989,9,2.14,3326399.0,0.42
1989,10,2.02,3190069.0,0.4
1989,11,2.02,3172505.0,0.4
1989,12,1.68,2650062.0,0.33
1990,1,1.37,2212994.0,0.27
1990,2,1.26,2088561.0,0.25
1990,3,1.35,2263689.0,0.27
1990,4,1.34,2117920.0,0.24
1990,5,1.72,2853829.0,0.33
1990,6,1.55,2669005.0,0.3
1990,7,1.72,2945379.0,0.33
1990,8,1.88,3186308.0,0.37
1990,9,1.93,3242741.0,0.38
1990,10,1.74,2862912.0,0.34
1990,11,1.51,2475402.0,0.3
1990,12,1.22,2041585.0,0.24
1991,1,0.99,1701641.0,0.19
1991,2,0.97,1703934.0,0.19
1991,3,1.25,2222647.0,0.24
1991,4,1.41,2498393.0,0.27
1991,5,1.59,2839228.0,0.3
1991,6,1.43,2579522.0,0.28
1991,7,1.73,3108456.0,0.34
1991,8,1.88,3333216.0,0.37
1991,9,1.98,3476279.0,0.39
1991,10,1.88,3253939.0,0.38
1991,11,1.49,2569929.0,0.29
1991,12,1.23,2159831.0,0.23
1992,1,1.12,2053729.0,0.22
1992,2,1.07,1948299.0,0.21
1992,3,1.2,2254467.0,0.23
1992,4,1.35,2533676.0,0.26
1992,5,1.41,2650446.0,0.27
1992,6,1.42,2692550.0,0.27
1992,7,1.67,3166186.0,0.31
1992,8,1.75,3290066.0,0.34
1992,9,1.92,3603627.0,0.37
1992,10,1.77,3298507.0,0.34
1992,11,1.71,3124990.0,0.32
1992,12,1.41,2611796.0,0.26
1993,1,1.21,2292248.0,0.23
1993,2,1.17,2303853.0,0.22
1993,3,1.2,2396344.0,0.22
1993,4,1.66,3265826.0,0.31
1993,5,1.63,3227158.0,0.31
1993,6,1.73,3387911.0,0.32
1993,7,1.86,3861782.0,0.34
1993,8,1.99,3947034.0,0.37
1993,9,2.31,4378245.0,0.43
1993,10,2.06,4147241.0,0.39
1993,11,1.83,3712820.0,0.34
1993,12,1.53,3028326.0,0.29
1994,1,1.38,2789623.0,0.26
1994,2,1.16,2369661.0,0.22
1994,3,1.23,2555437.0,0.23
1994,4,1.29,2702382.0,0.24
1994,5,1.3,2764715.0,0.24
1994,6,1.41,3053636.0,0.26
1994,7,1.53,3294156.0,0.28
1994,8,1.71,3682702.0,0.32
1994,9,1.92,4009820.0,0.36
1994,10,1.98,4161281.0,0.37
1994,11,1.77,3679007.0,0.32
1994,12,1.69,3546595.0,0.31
1995,1,1.55,3309172.0,0.29
1995,2,1.29,2805108.0,0.24
1995,3,1.39,3028403.0,0.26
1995,4,1.38,3040838.0,0.26
1995,5,1.35,3073092.0,0.25
1995,6,1.5,3359862.0,0.27
1995,7,1.64,3713313.0,0.3
1995,8,1.73,3906094.0,0.31
1995,9,1.87,4189842.0,0.35
1995,10,1.83,4090863.0,0.34
1995,11,1.82,4019938.0,0.33
1995,12,1.58,3532234.0,0.29
1996,1,1.33,3070978.0,0.24
1996,2,1.06,2381849.0,0.19
1996,3,1.43,3377769.0,0.27
1996,4,1.4,3304059.0,0.26
1996,5,1.64,3873292.0,0.31
1996,6,1.64,3876431.0,0.3
1996,7,1.63,4000822.0,0.3
1996,8,1.86,4442555.0,0.34
1996,9,1.9,4546191.0,0.36
1996,10,1.94,4619794.0,0.37
1996,11,1.64,3891604.0,0.32
1996,12,1.43,3377010.0,0.27
1997,1,1.23,2974707.0,0.24
1997,2,1.12,2713136.0,0.21
1997,3,1.42,3534741.0,0.27
1997,4,1.58,3968361.0,0.3
1997,5,1.63,4112978.0,0.31
1997,6,1.68,4248579.0,0.32
1997,7,1.77,4472310.0,0.33
1997,8,1.82,4594493.0,0.35
1997,9,1.95,4862763.0,0.38
1997,10,1.88,4786243.0,0.36
1997,11,1.67,4138016.0,0.32
1997,12,1.3,3277369.0,0.24
1998,1,1.03,2710112.0,0.19
1998,2,1.18,3150325.0,0.23
1998,3,1.15,3148410.0,0.22
1998,4,1.2,3288334.0,0.23
1998,5,1.27,3511253.0,0.23
1998,6,1.38,3800381.0,0.25
1998,7,1.49,4166097.0,0.28
1998,8,1.61,4445978.0,0.3
1998,9,1.65,4497085.0,0.32
1998,10,1.48,4066423.0,0.29
1998,11,1.41,3817613.0,0.27
1998,12,1.1,3272519.0,0.21
1999,1,0.98,2794627.0,0.18
1999,2,1.05,3079118.0,0.19
1999,3,1.29,3852186.0,0.23
1999,4,1.65,4927737.0,0.3
1999,5,1.85,5461104.0,0.34
1999,6,1.76,5182944.0,0.33
1999,7,1.75,5190675.0,0.32
1999,8,1.76,5155532.0,0.33
1999,9,1.88,5512724.0,0.36
1999,10,1.89,5515787.0,0.35
1999,11,1.76,5153071.0,0.34
1999,12,1.61,4760797.0,0.3
2000,1,1.38,4140010.0,0.26
2000,2,1.26,3800786.0,0.24
2000,3,1.26,3930703.0,0.24
2000,4,1.32,4098455.0,0.25
2000,5,1.33,4258142.0,0.26
2000,6,1.35,4404866.0,0.25
2000,7,1.39,4528175.0,0.26
2000,8,1.62,5173567.0,0.3
2000,9,1.88,5944576.0,0.35
2000,10,2.02,6266704.0,0.38
2000,11,1.96,6088818.0,0.37
2000,12,1.56,4892588.0,0.3
2001,1,1.8,5619058.0,0.34
2001,2,1.51,4709479.0,0.28
2001,3,1.46,4644114.0,0.28
2001,4,1.51,4799834.0,0.29
2001,5,1.57,5061299.0,0.3
2001,6,1.48,4832420.0,0.28
2001,7,1.43,4707688.0,0.27
2001,8,1.57,5229326.0,0.3
2001,9,1.78,5718629.0,0.34
2001,10,1.81,5854528.0,0.35
2001,11,1.7,5483585.0,0.33
2001,12,1.52,4861994.0,0.3
2002,1,1.47,4771186.0,0.29
2002,2,1.21,3917154.0,0.24
2002,3,1.34,4447424.0,0.27
2002,4,1.32,4336722.0,0.26
2002,5,1.4,4675439.0,0.28
2002,6,1.43,4831321.0,0.28
2002,7,1.51,5135643.0,0.3
2002,8,1.68,5671535.0,0.33
2002,9,1.87,6195854.0,0.37
2002,10,1.79,5978314.0,0.37
2002,11,1.57,5223024.0,0.32
2002,12,1.38,4616000.0,0.28
2003,1,1.29,4429242.0,0.25
2003,2,1.12,3940238.0,0.22
2003,3,1.4,5013766.0,0.27
2003,4,1.56,5578363.0,0.3
2003,5,1.67,5970343.0,0.33
2003,6,1.73,6234601.0,0.34
2003,7,1.83,6600323.0,0.35
2003,8,1.82,6451086.0,0.37
2003,9,1.83,6426340.0,0.37
2003,10,1.66,5947520.0,0.33
2003,11,1.46,5245000.0,0.29
2003,12,1.62,5767553.0,0.32
2004,1,1.25,4485976.0,0.25
2004,2,1.18,4377304.0,0.23
2004,3,1.25,4730451.0,0.25
2004,4,1.33,5026286.0,0.27
2004,5,1.44,5506795.0,0.29
2004,6,1.53,5902775.0,0.3
2004,7,1.69,6486060.0,0.33
2004,8,1.71,6427379.0,0.35
2004,9,1.97,7374070.0,0.4
2004,10,1.77,6701009.0,0.36
2004,11,1.68,6288501.0,0.34
2004,12,1.74,6465865.0,0.35
2005,1,1.5,5824987.0,0.3
2005,2,1.31,5119997.0,0.27
2005,3,1.52,6029636.0,0.31
2005,4,1.56,6240524.0,0.31
2005,5,1.61,6458042.0,0.32
2005,6,1.5,6049075.0,0.3
2005,7,1.62,6575383.0,0.32
2005,8,1.7,6696101.0,0.35
2005,9,1.82,7016245.0,0.37
2005,10,1.75,6826664.0,0.36
2005,11,1.61,6097112.0,0.33
2005,12,1.4,5337827.0,0.28
2006,1,1.23,4819724.0,0.24
2006,2,1.34,5531230.0,0.26
2006,3,1.51,6280401.0,0.3
2006,4,1.61,6679708.0,0.32
2006,5,1.7,7044301.0,0.34
2006,6,1.64,6830421.0,0.32
2006,7,1.67,6860789.0,0.33
2006,8,1.87,7661789.0,0.38
2006,9,1.97,7943326.0,0.4
2006,10,1.7,6787335.0,0.35
2006,11,1.9,7521918.0,0.39
2006,12,1.43,5703937.0,0.29
2007,1,1.45,5829014.0,0.28
2007,2,1.25,4992111.0,0.25
2007,3,1.3,5366129.0,0.26
2007,4,1.35,5562523.0,0.27
2007,5,1.43,5905502.0,0.29
2007,6,1.39,5863256.0,0.28
2007,7,1.62,6881415.0,0.32
2007,8,1.83,7706443.0,0.37
2007,9,1.89,7879473.0,0.39
2007,10,1.85,7789724.0,0.38
2007,11,1.95,8156045.0,0.39
2007,12,1.68,7081990.0,0.33
2008,1,1.68,7139809.0,0.34
2008,2,1.42,6144869.0,0.29
2008,3,1.51,6659446.0,0.3
2008,4,1.52,6657819.0,0.31
2008,5,1.62,7178391.0,0.33
2008,6,1.65,7361310.0,0.33
2008,7,1.78,7935480.0,0.35
2008,8,1.79,7924673.0,0.36
2008,9,1.76,7782867.0,0.36
2008,10,1.9,8282080.0,0.39
2008,11,1.87,8155040.0,0.38
2008,12,1.68,7312187.0,0.34
2009,1,1.52,6647153.0,0.31
2009,2,1.3,5866257.0,0.26
2009,3,1.42,6372747.0,0.29
2009,4,1.39,6306926.0,0.28
2009,5,1.48,6819751.0,0.31
2009,6,1.52,7044305.0,0.32
2009,7,1.6,7399675.0,0.33
2009,8,1.63,7354646.0,0.34
2009,9,1.74,7777714.0,0.36
2009,10,2.14,9636826.0,0.44
2009,11,1.77,7870050.0,0.36
2009,12,1.69,7485106.0,0.35
2010,1,1.44,6514515.0,0.3
2010,2,1.22,5609210.0,0.26
2010,3,1.44,6765723.0,0.3
2010,4,1.38,6468627.0,0.28
2010,5,1.44,6868126.0,0.29
2010,6,1.49,7142576.0,0.3
2010,7,1.64,7731500.0,0.32
2010,8,1.71,7921938.0,0.35
2010,9,1.66,7705518.0,0.34
2010,10,1.72,7918819.0,0.36
2010,11,1.55,7166251.0,0.32
2010,12,1.34,6105320.0,0.27
2011,1,1.15,5428250.0,0.23
2011,2,1.2,5640639.0,0.24
2011,3,1.51,7280318.0,0.3
2011,4,1.6,7604768.0,0.32
2011,5,1.78,8570035.0,0.37
2011,6,1.79,8625994.0,0.37
2011,7,1.79,8632662.0,0.37
2011,8,1.69,8100338.0,0.35
2011,9,1.96,9335303.0,0.4
2011,10,1.95,9261076.0,0.4
2011,11,1.68,7946541.0,0.35
2011,12,1.59,7389448.0,0.32
2012,1,1.35,6474511.0,0.27
2012,2,1.18,5858388.0,0.24
2012,3,1.21,6032361.0,0.24
2012,4,1.25,6335240.0,0.25
2012,5,1.34,6809310.0,0.27
2012,6,1.43,7322125.0,0.29
2012,7,1.68,8540430.0,0.34
2012,8,1.67,8257786.0,0.34
2012,9,2.0,9865719.0,0.41
2012,10,1.96,9499859.0,0.4
2012,11,1.97,9500293.0,0.4
2012,12,1.85,8769072.0,0.37
2013,1,1.63,7987936.0,0.33
2013,2,1.32,6500950.0,0.27
2013,3,1.3,6454172.0,0.27
2013,4,1.33,6775477.0,0.27
2013,5,1.35,6925826.0,0.27
2013,6,1.37,7158613.0,0.27
2013,7,1.65,8473990.0,0.33
2013,8,1.74,8795704.0,0.35
2013,9,1.9,9555099.0,0.38
2013,10,1.93,9697181.0,0.4
2013,11,1.83,9117664.0,0.38
2013,12,1.67,8285977.0,0.34
2014,1,1.49,7503249.0,0.3
2014,2,1.21,6187974.0,0.25
2014,3,1.39,7290058.0,0.29
2014,4,1.45,7597130.0,0.3
2014,5,1.53,8107435.0,0.32
2014,6,1.43,7671936.0,0.29
2014,7,1.55,8262707.0,0.32
2014,8,1.94,10017252.0,0.4
2014,9,1.8,9248603.0,0.37
2014,10,1.79,9110120.0,0.38
2014,11,1.68,8434746.0,0.35
2014,12,1.37,6635596.0,0.28
2015,1,1.15,5891733.0,0.23
2015,2,1.07,5646091.0,0.22
2015,3,1.33,7379199.0,0.27
2015,4,1.55,8545109.0,0.31
2015,5,1.64,9007614.0,0.33
2015,6,1.61,8857451.0,0.32
2015,7,1.68,9122976.0,0.34
2015,8,1.89,10036751.0,0.38
2015,9,1.81,9449057.0,0.38
2015,10,1.84,9554499.0,0.39
2015,11,1.57,8056771.0,0.32
2015,12,1.34,6796822.0,0.28
2016,1,1.04,5558538.0,0.21
2016,2,0.97,5282514.0,0.19
2016,3,1.1,6074990.0,0.22
2016,4,1.17,6492052.0,0.24
2016,5,1.27,6981344.0,0.25
2016,6,1.45,7838041.0,0.28
2016,7,1.47,7948680.0,0.3
2016,8,1.54,8273740.0,0.32
2016,9,1.57,8470098.0,0.32
2016,10,1.51,8142065.0,0.31
2016,11,1.46,7876810.0,0.29
2016,12,1.36,7386437.0,0.27
2017,1,1.2,6544207.0,0.24
2017,2,1.13,6507731.0,0.22
2017,3,1.32,7536766.0,0.26
2017,4,1.38,7925717.0,0.27
2017,5,1.45,8396417.0,0.29
2017,6,1.37,7780143.0,0.27
2017,7,1.61,9296227.0,0.32
2017,8,1.61,9223680.0,0.32
2017,9,1.62,9183517.0,0.32
2017,10,1.78,10085883.0,0.36
2017,11,1.75,9900167.0,0.34
2017,12,1.67,9360445.0,0.33
2018,1,1.48,8401170.0,0.28
2018,2,1.22,6851715.0,0.24
2018,3,1.38,7911207.0,0.28
2018,4,1.36,7795030.0,0.27
2018,5,1.32,7649112.0,0.26
2018,6,1.17,6714941.0,0.23
2018,7,1.28,7536121.0,0.26
2018,8,1.39,8055372.0,0.28
2018,9,1.62,9318337.0,0.32
2018,10,1.7,9781330.0,0.34
2018,11,1.63,9305972.0,0.33
2018,12,1.61,9099131.0,0.32
2019,1,1.52,8801665.0,0.3
2019,2,1.34,7688675.0,0.27
2019,3,1.42,8310940.0,0.29
2019,4,1.42,8377528.0,0.28
2019,5,1.4,8394906.0,0.28
2019,6,1.34,7715554.0,0.27
2019,7,1.49,8725988.0,0.3
2019,8,1.55,8913562.0,0.32
2019,9,1.57,8905927.0,0.33
2019,10,1.57,8847960.0,0.32
2019,11,1.35,7610484.0,0.27
2019,12,1.22,6772175.0,0.24
2020,1,1.06,5966128.0,0.21
2020,2,1.1,6521617.0,0.22
2020,3,1.19,7002750.0,0.24
2020,4,1.41,8405071.0,0.28
2020,5,1.44,8394245.0,0.29
2020,6,1.65,9796624.0,0.32
2020,7,1.59,9260789.0,0.31
2020,8,1.62,9370074.0,0.33
2020,9,1.65,9430931.0,0.33
2020,10,1.5,8523164.0,0.31
2020,11,1.33,7513250.0,0.27
2020,12,1.19,6784673.0,0.23
2021,1,1.03,6006068.0,0.2
2021,2,0.97,5732982.0,0.19
2021,3,1.2,7325670.0,0.24
2021,4,1.28,7766202.0,0.25
2021,5,1.33,7945898.0,0.27
2021,6,1.35,7980011.0,0.27
2021,7,1.3,7756760.0,0.26
2021,8,1.44,8548348.0,0.29
2021,9,1.45,8447586.0,0.29
2021,10,1.46,8543313.0,0.3
2021,11,1.41,8114872.0,0.29
2021,12,1.26,7225956.0,0.25
2022,1,1.1,6419066.0,0.22
2022,2,0.99,5974154.0,0.19
2022,3,1.18,7374154.0,0.23
2022,4,1.17,7375776.0,0.23
2022,5,1.2,7457961.0,0.24
2022,6,1.26,7967345.0,0.25
2022,7,1.28,8015968.0,0.25
2022,8,1.45,8872246.0,0.29
2022,9,1.51,9152131.0,0.3
2022,10,1.54,9286351.0,0.3
2022,11,1.45,8619339.0,0.29
2022,12,1.38,8299965.0,0.27
2023,1,1.19,7134941.0,0.23
2023,2,1.07,6601525.0,0.21
2023,3,1.09,6718223.0,0.21
2023,4,1.0,6089959.0,0.2
2023,5,1.23,7685810.0,0.25
2023,6,1.21,7435995.0,0.24
2023,7,1.37,8350328.0,0.27
2023,8,1.5,8945139.0,0.3
2023,9,1.58,9343435.0,0.32
2023,10,1.65,9682271.0,0.34
2023,11,1.54,9015252.0,0.31
2023,12,1.35,7949669.0,0.27
2024,1,1.25,7355290.0,0.24
2024,2,1.09,6453366.0,0.22
2024,3,1.17,7169801.0,0.23
2024,4,1.27,7789749.0,0.25
2024,5,1.43,8930951.0,0.28
2024,6,1.4,8650592.0,0.27
2024,7,1.56,9525968.0,0.3
2024,8,1.65,9833812.0,0.32
2024,9,1.57,9243598.0,0.32
2024,10,1.55,9048171.0,0.31
2024,11,,,
2024,12,,,
